num	title	query	overlap	readme_overlap	score	repo	url	description	strict_reasons	readme_reasons	title_hits	readme_url
506	PASTA : Neural Architecture Search for Anomaly Detection in Multivariate Time Series	PASTA	0.00	0.50	100	zelinzhao/pasta	https://github.com/zelinzhao/pasta			partial_readme_title_overlap_0.50	pasta,search	https://raw.githubusercontent.com/zelinzhao/pasta/HEAD/README.md
526	Robustifying ML-powered Network Classifiers with PANTS	PANTS	1.00	0.00	108	jinminhao/PANTS	https://github.com/jinminhao/PANTS	[Usenix Security '25] Robustifying ML-powered Network Classifiers with PANTS	title_overlap_1.00_method_match		robustifying,powered,classifiers,pants	
545	SENTINEL: Insider Threat Detection Based on Multi-Timescale User Behavior Interaction Graph Learning	SENTINEL	0.00	0.57	100	mcmonkeyprojects/Sentinel	https://github.com/mcmonkeyprojects/Sentinel	Combat NPCs for Spigot!		partial_readme_title_overlap_0.57	sentinel,threat,user,behavior	https://raw.githubusercontent.com/mcmonkeyprojects/Sentinel/HEAD/README.md
626	CELLSHIFT: RTT-Aware Trace Transduction for Real-World Website Fingerprinting	CELLSHIFT	0.00	1.00	100	robgjansen/cellshift	https://github.com/robgjansen/cellshift	A utility to transduce Tor exit cell traces into entry cell traces.		title_string_in_readme;readme_title_overlap_1.00	cellshift,aware,trace,transduction,real,world,website,fingerprinting	https://raw.githubusercontent.com/robgjansen/cellshift/HEAD/README.md
638	DALAD: Unsupervised Detection of Global and Local Anomalies in Microservice Systems	DALAD	0.00	1.00	105	intse/DALAD	https://github.com/intse/DALAD	The source code and datasets of DALAD for anomaly detection in microservice systems.		title_string_in_readme;readme_title_overlap_1.00	dalad,unsupervised,global,local,anomalies,microservice,systems	https://raw.githubusercontent.com/intse/DALAD/HEAD/README.md
671	EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework	EO-EPTC	1.00	0.00	113	ygchen1/eo-eptc	https://github.com/ygchen1/eo-eptc	Implementation of “EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework”	title_overlap_1.00_method_match		eptc,original,proxy	
671	EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework	EO-EPTC	1.00	0.00	108	wzujhj/EO-EPTC	https://github.com/wzujhj/EO-EPTC	EO-EPTC: End-to-End Original  Traffic-based Encrypted Proxy Traffic Classification Framework	title_overlap_1.00_method_match		eptc,original,proxy	
686	FlowXpert: Context-Aware Flow Embedding for Enhanced Traffic Detection in IoT Network	FlowXpert	0.00	0.50	100	Rohan704/flowxpert	https://github.com/Rohan704/flowxpert			partial_readme_title_overlap_0.50	flowxpert,context,flow	https://raw.githubusercontent.com/Rohan704/flowxpert/HEAD/README.md
767	NOVA: A Self-Supervised Graph Framework for Real-Time Anomaly Detection in Internet of Vehicles	NOVA	0.00	0.75	95	trynova/nova	https://github.com/trynova/nova	JS engine lolz		readme_title_overlap_0.75	nova,real,internet	https://raw.githubusercontent.com/trynova/nova/HEAD/README.md
767	NOVA: A Self-Supervised Graph Framework for Real-Time Anomaly Detection in Internet of Vehicles	NOVA	0.00	0.50	100	kylewray/nova	https://github.com/kylewray/nova	CUDA optimized code for solving MDPs, POMDPs, and Dec-POMDPs.		partial_readme_title_overlap_0.50	nova,real	https://raw.githubusercontent.com/kylewray/nova/HEAD/README.md
767	NOVA: A Self-Supervised Graph Framework for Real-Time Anomaly Detection in Internet of Vehicles	NOVA	0.00	0.50	95	ambr0sial/nova	https://github.com/ambr0sial/nova	Click, watch, enjoy.		partial_readme_title_overlap_0.50	nova,real	https://raw.githubusercontent.com/ambr0sial/nova/HEAD/README.md
767	NOVA: A Self-Supervised Graph Framework for Real-Time Anomaly Detection in Internet of Vehicles	NOVA	0.00	0.50	95	microsoft/Nova	https://github.com/microsoft/Nova	Nova: High-speed recursive zero-knowledge arguments from folding schemes		partial_readme_title_overlap_0.50	nova,real	https://raw.githubusercontent.com/microsoft/Nova/HEAD/README.md
781	REAPER: Real-Time Detection of Malicious Traffic via Deep Time-Series Embedding Analysis	REAPER	0.00	0.50	100	RepoReapers/reaper	https://github.com/RepoReapers/reaper	Calculate the score of a repository based on best engineering practices.		partial_readme_title_overlap_0.50	reaper,real	https://raw.githubusercontent.com/RepoReapers/reaper/HEAD/README.md
781	REAPER: Real-Time Detection of Malicious Traffic via Deep Time-Series Embedding Analysis	REAPER	0.00	0.50	100	brosck/Reaper	https://github.com/brosck/Reaper	「💀」Proof of concept on BYOVD attack		partial_readme_title_overlap_0.50	reaper,malicious	https://raw.githubusercontent.com/brosck/Reaper/HEAD/README.md
781	REAPER: Real-Time Detection of Malicious Traffic via Deep Time-Series Embedding Analysis	REAPER	0.00	0.50	100	koulaxizis/reaper	https://github.com/koulaxizis/reaper	My personal collection of presets for ReaPlugs & JS Effects		partial_readme_title_overlap_0.50	reaper,real	https://raw.githubusercontent.com/koulaxizis/reaper/HEAD/Readme.md
781	REAPER: Real-Time Detection of Malicious Traffic via Deep Time-Series Embedding Analysis	REAPER	0.00	0.50	100	leafac/reaper	https://github.com/leafac/reaper	Leandro Facchinetti’s REAPER effects and scripts		partial_readme_title_overlap_0.50	reaper,real	https://raw.githubusercontent.com/leafac/reaper/HEAD/README.md
806	SOFA: Service-Oriented Fine-Grained Attack Traffic Detection With Meta Learning	SOFA	0.00	0.57	95	antgroup/sofa	https://github.com/antgroup/sofa	SOFAStack™ (Scalable Open Financial Architecture Stack) is a collection of cloud native middleware components, which are designed to build distributed systems with high performance and reliability, and have been fully validated by mission-critical financial business scenarios.		partial_readme_title_overlap_0.57	sofa,service,oriented,meta	https://raw.githubusercontent.com/antgroup/sofa/HEAD/README.md
808	SParse: Semantic Tracking and Path Analysis for Attack Investigation in Real-Time	SParse	0.00	0.57	100	djspiewak/sparse	https://github.com/djspiewak/sparse	Generalized, incremental parser combinators for scalaz-stream		partial_readme_title_overlap_0.57	sparse,tracking,path,real	https://raw.githubusercontent.com/djspiewak/sparse/HEAD/README.md
821	Time Will Tell: Criss-Cross Transformer for Encrypted Traffic Analysis	Criss-cross Traffic Transformer	1.00	0.00	105	Amanda-HuaDing/Criss-cross_Traffic_Transformer	https://github.com/Amanda-HuaDing/Criss-cross_Traffic_Transformer	The official implementation of Time Will Tell: Criss-cross Transformer for Encrypted Traffic Analysis.	manual_known_repo;title_overlap_1.00_method_match		will,tell,criss,cross,transformer	
